planta	fruto	circularidad.polar	circularidad.ecuatorial	area.polar	area.ecuatorial	perimetro.polar	perimetro.ecuatorial	diametro.polar.a	diametro.polar.b	diametro.ecuatorial.a	diametro.ecuatorial.b
18116	1	0.881	0.876	0.369	0.496	2.294	2.666	0.749	0.706	0.707	0.674
18116	2	0.891	0.809	0.435	0.602	2.477	3.057	0.793	0.767	0.81	0.685
18116	3	0.881	0.876	0.347	0.449	2.225	2.538	0.697	0.676	0.696	0.592
18116	4	0.894	0.857	0.447	0.59	2.505	2.941	0.797	0.806	0.739	0.685
18116	5	0.571	0.824	0.445	0.616	3.131	3.066	0.754	0.763	0.717	0.658
18116	6	0.891	0.868	0.552	0.826	2.789	3.457	0.766	0.816	0.765	0.748
18116	7	0.876	0.879	0.446	0.638	2.528	3.019	0.677	0.735	0.732	0.696
18116	8	0.881	0.904	0.433	0.712	2.486	3.147	0.636	0.709	0.697	0.696
18116	9	0.848	0.819	0.396	0.592	2.424	3.013	0.709	0.66	0.638	0.654
18116	10	0.596	0.624	0.473	0.751	3.157	3.889	0.668	0.668	0.68	0.701
18116	11	0.883	0.828	0.306	0.426	2.088	2.542	0.65	0.685	0.647	0.587
18116	12	0.91	0.779	0.336	0.465	2.153	2.738	0.671	0.702	0.697	0.657
18116	13	0.876	0.771	0.328	0.455	2.171	2.722	0.689	0.65	0.637	0.693
18116	14	0.892	0.893	0.306	0.404	2.075	2.383	0.663	0.624	0.607	0.597
18116	15	0.806	0.807	0.262	0.378	2.02	2.427	0.585	0.537	0.571	0.585
18116	16	0.875	0.889	0.48	0.73	2.627	3.213	0.709	0.758	0.707	0.718
18116	17	0.894	0.885	0.534	0.787	2.739	3.343	0.734	0.783	0.739	0.739
18116	18	0.868	0.896	0.491	0.714	2.665	3.166	0.717	0.758	0.73	0.667
18116	19	0.885	0.893	0.522	0.784	2.722	3.321	0.726	0.766	0.744	0.684
18116	20	0.728	0.629	0.501	0.744	2.939	3.857	0.677	0.742	0.728	0.664
18116	21	0.869	0.842	0.347	0.45	2.239	2.59	0.732	0.723	0.663	0.636
18116	22	0.863	0.663	0.36	0.482	2.29	3.022	0.741	0.706	0.685	0.685
18116	23	0.878	0.878	0.311	0.39	2.112	2.362	0.68	0.65	0.57	0.647
18116	24	0.895	0.837	0.353	0.439	2.227	2.569	0.723	0.68	0.578	0.647
18116	25	0.784	0.839	0.468	0.587	2.738	2.965	0.806	0.745	0.783	0.712
18116	26	0.893	0.872	0.477	0.722	2.591	3.226	0.709	0.766	0.702	0.717
18116	27	0.887	0.882	0.417	0.62	2.431	2.971	0.652	0.693	0.675	0.643
18116	28	0.828	0.892	0.395	0.6	2.448	2.906	0.66	0.668	0.664	0.622
18116	29	0.802	0.749	0.455	0.688	2.668	3.397	0.701	0.693	0.688	0.676
18116	30	0.659	0.759	0.471	0.691	2.996	3.382	0.652	0.66	0.616	0.664
55451	1	0.854	0.631	0.45	0.362	2.574	2.683	0.769	0.678	0.815	0.698
55451	2	0.888	0.406	0.417	0.37	2.43	3.382	0.697	0.707	0.733	0.682
55451	3	0.888	0.662	0.436	0.253	2.483	2.19	0.745	0.713	0.746	0.722
55451	4	0.891	0.88	0.449	0.44	2.517	2.506	0.712	0.665	0.698	0.768
55451	5	0.892	0.889	0.395	0.404	2.36	2.389	0.704	0.687	0.663	0.725
55451	6	0.892	0.716	0.363	0.388	2.262	2.608	0.688	0.6	0.575	0.692
55451	7	0.872	0.88	0.472	0.466	2.608	2.579	0.78	0.685	0.714	0.783
55451	8	0.887	0.878	0.449	0.437	2.522	2.501	0.71	0.737	0.707	0.757
55451	9	0.866	0.88	0.525	0.533	2.762	2.76	0.815	0.763	0.759	0.813
55451	10	0.775	0.602	0.504	0.518	2.859	3.288	0.72	0.768	0.736	0.788
55451	11	0.665	0.737	0.427	0.362	2.838	2.486	0.737	0.706	0.744	0.695
55451	12	0.846	0.884	0.344	0.385	2.263	2.34	0.648	0.632	0.667	0.655
55451	13	0.9	0.39	0.506	0.651	2.658	4.579	0.779	0.728	0.787	0.776
55451	14	0.877	0.859	0.499	0.47	2.673	2.622	0.736	0.775	0.746	0.784
55451	15	0.89	0.886	0.386	0.344	2.334	2.208	0.673	0.699	0.687	0.62
55451	16	0.887	0.454	0.438	0.521	2.492	3.799	0.769	0.658	0.715	0.754
55451	17	0.884	0.875	0.429	0.416	2.471	2.446	0.716	0.679	0.705	0.725
55451	18	0.857	0.867	0.431	0.424	2.515	2.478	0.732	0.698	0.751	0.694
55451	19	0.874	0.89	0.43	0.434	2.487	2.475	0.68	0.729	0.702	0.744
55451	20	0.751	0.548	0.534	0.525	2.988	3.467	0.808	0.704	0.739	0.808
55451	21	0.802	0.891	0.381	0.445	2.444	2.504	0.615	0.726	0.726	0.692
55451	22	0.791	0.89	0.345	0.403	2.343	2.386	0.609	0.673	0.649	0.672
55451	23	0.878	0.696	0.492	0.605	2.654	3.305	0.774	0.733	0.773	0.744
55451	24	0.822	0.882	0.398	0.4	2.465	2.386	0.702	0.61	0.693	0.715
55451	25	0.884	0.884	0.351	0.346	2.233	2.217	0.713	0.604	0.614	0.703
55451	26	0.896	0.581	0.433	0.456	2.463	3.139	0.751	0.687	0.718	0.721
55451	27	0.898	0.885	0.336	0.333	2.167	2.172	0.658	0.579	0.651	0.63
55451	28	0.877	0.836	0.334	0.335	2.188	2.246	0.607	0.682	0.611	0.653
55451	29	0.88	0.886	0.345	0.348	2.218	2.222	0.671	0.65	0.631	0.669
55451	30	NA	0.696	NA	0.42	NA	2.754	0.723	0.665	0.68	0.717
55662	1	0.876	0.849	0.393	0.425	2.374	2.509	0.743	0.65	0.68	0.715
55662	2	0.893	0.869	0.454	0.467	2.528	2.598	0.764	0.704	0.757	0.729
55662	3	0.876	0.844	0.513	0.552	2.713	2.867	0.78	0.773	0.779	0.797
55662	4	0.88	0.823	0.557	0.573	2.82	2.96	0.839	0.737	0.76	0.789
55662	5	0.718	0.853	0.577	0.46	3.179	2.604	0.977	1.006	0.801	0.768
55662	6	0.528	0.819	0.555	0.451	3.634	2.63	0.93	0.965	0.796	0.735
55662	7	0.824	0.881	0.639	0.523	3.123	2.73	1	0.982	0.764	0.803
55662	8	0.758	0.895	0.797	0.662	3.635	3.048	0.956	0.856	0.82	0.892
55662	9	0.854	0.861	0.478	0.536	2.652	2.797	0.81	0.787	0.79	0.775
55662	10	0.807	0.892	0.39	0.421	2.464	2.435	0.724	0.66	0.689	0.649
55662	11	0.892	0.827	0.459	0.46	2.541	2.644	0.738	0.734	0.702	0.779
55662	12	0.91	0.777	0.399	0.414	2.349	2.588	0.704	0.661	0.656	0.721
55662	13	0.9	0.874	0.364	0.37	2.256	2.306	0.638	0.684	0.63	0.662
55662	14	0.886	0.867	0.52	0.534	2.715	2.781	0.746	0.769	0.756	0.774
55662	15	0.778	0.487	0.552	0.444	2.986	3.385	0.959	0.959	0.787	0.789
55662	16	0.71	0.732	0.488	0.398	2.939	2.614	0.918	0.836	0.73	0.734
55662	17	0.866	0.871	0.464	0.388	2.594	2.367	0.825	0.845	0.702	0.705
55662	18	0.58	0.883	0.501	0.493	3.294	2.648	0.801	0.755	0.695	0.788
55662	19	0.793	0.863	0.427	0.442	2.601	2.536	0.76	0.677	0.68	0.726
55662	20	0.869	0.861	0.564	0.593	2.856	2.943	0.81	0.828	0.768	0.768
55662	21	0.901	0.878	0.548	0.617	2.764	2.971	0.807	0.784	0.779	0.754
55662	22	0.887	0.804	0.568	0.637	2.837	3.156	0.803	0.834	0.784	0.716
55662	23	0.885	0.875	0.524	0.57	2.727	2.86	0.792	0.796	0.752	0.783
